20230528	23:53:39	8462e1ae-6793-4656-9e5b-009cf9ef6c50	Error:not allowed by CoRs	OPTIONS	/	https://www.google.com
20230528	23:53:39	301f8949-0950-4163-8d1b-25775ed98a3b	Error:not allowed by CoRs	GET	/	https://www.google.com
20230530	17:20:27	757f911b-0d17-42ac-8dda-3f22e7e080d6	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "hank" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:27:27	e069bb03-dfe5-438d-820f-c3262dd89c37	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "hank" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:29:17	a6468e06-bb72-4303-9afa-07f191653bd7	SyntaxError:Unexpected token } in JSON at position 18	POST	/notes	undefined
20230530	17:29:31	d40f0a5a-e3b9-4c60-9aa9-89f398af844f	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "hank" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:34:31	598eaca2-de89-4bdf-bdfb-30961dd43e49	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "hank" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:35:42	c6416cb9-a168-4748-bbe5-989a0977ab40	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "kalim" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:35:50	8ed85187-bd5d-43d6-b47d-dbb350bd54b2	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "dave" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:36:40	1cf996b9-9c95-453e-8560-39df99ad9f5e	SyntaxError:Unexpected token 
 in JSON at position 14	POST	/notes	undefined
20230530	17:37:12	91eb5b6e-e409-4076-b9ca-21e34dbff072	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "{ id: '647609acdc818e99241d8408' }" (type Object) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:39:35	ffa6c1af-2425-49e7-b3aa-2af28e47f351	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "{ id: '647609acdc818e99241d8408', user: 'dave' }" (type Object) at path "user" because of "BSONError"	POST	/notes	undefined
20230530	17:46:16	294399a4-984a-4d43-88e2-cfe97bf3397e	SyntaxError:Unexpected token o in JSON at position 11	POST	/notes	undefined
20230530	17:46:24	ec48fbda-8ce9-49f6-9022-66f8c884e67a	SyntaxError:Unexpected number in JSON at position 22	POST	/notes	undefined
20230530	17:46:31	c8b9efbd-db33-4f94-8eed-5f0e08fb4caf	SyntaxError:Unexpected token o in JSON at position 12	POST	/notes	undefined
20230530	17:46:41	32ed7f9f-90e5-4c23-a46f-3016a445c872	SyntaxError:Unexpected token } in JSON at position 38	POST	/notes	undefined
20230530	17:47:09	f395d57f-3905-41fd-95a3-a5ebd3084225	ValidationError:Note validation failed: user: Cast to ObjectId failed for value "hank" (type string) at path "user" because of "BSONError"	POST	/notes	undefined
